Auchan: 6.55zł, Gdańsk, Szczęśliwa 3
Baltic-Trade: 6.69zł, Gdańsk, Rzęsna 3
Baltic-Trade: 6.69zł, Gdynia, al. Solidarności 2
Baltic-Trade: 6.69zł, Gdynia, Hutnicza 36
MOYA Gdynia: 6.77zł, Gdynia, Hutnicza 5
Auto-Darex. PHU: 6.77zł, Gdynia, Hutnicza 1
Leclerc: 6.78zł, Gdańsk, Obrońców Wybrzeża 1
Amic Energy: 6.79zł, Gdynia, Hutnicza 8
Amic Energy: 6.79zł, Gdańsk, Juliusza Słowackiego 134
PKN Orlen: 6.79zł, Gdańsk, Kołobrzeska 28
Circle K Express: 6.81zł, Gdańsk, Warszawska 17
LOTOS Optima: 6.83zł, Gdańsk, Astronomów 20
Shell: 6.83zł, Gdańsk, al. Rzeczypospolitej 8
LOTOS: 6.83zł, Gdańsk, al. Jana Pawła II
Circle K: 6.83zł, Gdynia, al. Zwycięstwa 132
LOTOS: 6.83zł, Gdańsk, mjr. Henryka Sucharskiego 4
Shell: 6.86zł, Gdynia, Hutnicza 35
Circle K: 6.87zł, Gdańsk, Marynarki Polskiej 93
PKN Orlen: 6.89zł, Gdańsk, Gronostajowa 1
Carrefour: 6.97zł, Gdańsk, Franciszka Schuberta 102A
Auchan: 6.98zł, Rumia, Grunwaldzka 108
Amic Energy: 7.54zł, Gdańsk, Elbląska 114
LOTOS: 4.07zł, Gdańsk, Elbląska 87
LOTOS: 7.65zł, Gdańsk, Spacerowa 50
PKN Orlen: 7.65zł, Gdynia, Kcyńska 25
