LOTOS Optima: 6.53zł, Gdańsk, Astronomów 20
BP: 6.59zł, Gdańsk, Juliusza Słowackiego 187
MOYA Gdańsk - Szadółki: 6.59zł, Gdańsk, Lubowidzka 41
Shell: 6.63zł, Gdańsk, płk. Jana Pałubickiego 12
LOTOS: 6.63zł, Gdańsk, mjr. Henryka Sucharskiego 4
LOTOS: 6.63zł, Gdańsk, Sadowa 3 (Dolne Miasto)
LOTOS: 6.63zł, Gdańsk, Kołobrzeska 41
Circle K: 6.63zł, Gdynia, al. Zwycięstwa 132
LOTOS: 6.63zł, Gdańsk, Elbląska 87
PKN Orlen: 6.63zł, Gdańsk, Miałki Szlak 14
