Auchan: 6.24zł, Rumia, Grunwaldzka 108
Leclerc: 6.42zł, Gdańsk, Obrońców Wybrzeża 1
Auchan: 6.42zł, Gdańsk, Szczęśliwa 3
Carrefour: 6.49zł, Gdańsk, Franciszka Schuberta 102A
PKN Orlen: 6.49zł, Gdynia, Kcyńska 25
Amic Energy: 6.58zł, Gdynia, Wielkopolska 260
Circle K: 6.59zł, Gdynia, al. Zwycięstwa 132
Amic Energy: 6.67zł, Pruszcz Gdański, Grunwaldzka 58A
MOYA Gdynia: 6.44zł, Gdynia, Hutnicza 5
Baltic-Trade: 6.44zł, Gdynia, adm. Józefa Unruga 111E
Baltic-Trade: 6.44zł, Gdańsk, Marynarki Polskiej 73E
Baltic-Trade: 6.44zł, Gdańsk, Rzęsna 3
Baltic-Trade: 6.44zł, Gdynia, Hutnicza 36
Baltic-Trade: 6.44zł, Gdynia, al. Solidarności 2
Baltic-Trade: 6.44zł, Gdańsk, Trakt Świętego Wojciecha 223/225
